actual,city,contract_type,disagreement_bucket,eligibility_class,event_date,event_key,lead_time_bucket,market_bucket,market_prob,market_ticker,model_prob,partition,probability_bucket,profit_loss,stake,station_bucket,strategy_version,trade_id,uncertainty_bucket
0.0,Denver,range,20pp+,UNCLASSIFIED,2026-08-04,Denver|2026-08-04|high,0-1d,<0.20,0.01,KXHIGHDEN-26AUG03-B101.5,0.999,development,90-100%,-10.0,10.0,Denver|station_verified=True,v3.0,1,6F+
0.0,Denver,threshold,20pp+,UNCLASSIFIED,2026-08-04,Denver|2026-08-04|high,0-1d,<0.20,0.01,KXHIGHDEN-26AUG03-T95,0.999,development,90-100%,-10.0,10.0,Denver|station_verified=True,v3.0,2,6F+
1.0,Denver,range,10-19pp,UNCLASSIFIED,2026-08-05,Denver|2026-08-05|high,0-1d,0.80-1.00,0.8,KXHIGHDEN-26AUG04-B75.5,0.9934,development,90-100%,2.5,10.0,Denver|station_verified=True,v3.0,3,6F+
1.0,Denver,range,20pp+,UNCLASSIFIED,2026-08-05,Denver|2026-08-05|high,0-1d,0.60-0.79,0.65,KXHIGHDEN-26AUG04-B77.5,0.9872,development,90-100%,5.384615,10.0,Denver|station_verified=True,v3.0,4,6F+
1.0,Denver,range,20pp+,UNCLASSIFIED,2026-08-05,Denver|2026-08-05|high,0-1d,0.60-0.79,0.74,KXHIGHDEN-26AUG04-B79.5,0.9778,development,90-100%,3.513514,10.0,Denver|station_verified=True,v3.0,5,6F+
0.0,Denver,threshold,20pp+,UNCLASSIFIED,2026-08-05,Denver|2026-08-05|high,0-1d,<0.20,0.03,KXHIGHDEN-26AUG04-T82,0.856939,development,80-89%,-10.0,10.0,Denver|station_verified=True,v3.0,6,6F+
0.0,Miami,range,20pp+,UNCLASSIFIED,2026-08-04,Miami|2026-08-04|high,0-1d,<0.20,0.01,KXHIGHMIA-26AUG03-B92.5,0.9597,development,90-100%,-10.0,10.0,Miami|station_verified=True,v3.0,7,6F+
0.0,Miami,threshold,20pp+,UNCLASSIFIED,2026-08-04,Miami|2026-08-04|high,0-1d,<0.20,0.01,KXHIGHMIA-26AUG03-T88,0.533207,development,50-59%,-10.0,10.0,Miami|station_verified=True,v3.0,8,6F+
1.0,Miami,range,20pp+,UNCLASSIFIED,2026-08-05,Miami|2026-08-05|high,0-1d,0.40-0.59,0.53,KXHIGHMIA-26AUG04-B90.5,0.9359,development,90-100%,8.867925,10.0,Miami|station_verified=True,v3.0,9,6F+
0.0,Miami,range,20pp+,UNCLASSIFIED,2026-08-05,Miami|2026-08-05|high,0-1d,0.60-0.79,0.62,KXHIGHMIA-26AUG04-B92.5,0.9337,development,90-100%,-10.0,10.0,Miami|station_verified=True,v3.0,10,6F+
0.0,Miami,threshold,10-19pp,UNCLASSIFIED,2026-08-05,Miami|2026-08-05|high,0-1d,<0.20,0.01,KXHIGHMIA-26AUG04-T86,0.118339,development,10-19%,-10.0,10.0,Miami|station_verified=True,v3.0,11,6F+
0.0,Miami,threshold,20pp+,UNCLASSIFIED,2026-08-05,Miami|2026-08-05|high,0-1d,<0.20,0.05,KXHIGHMIA-26AUG04-T93,0.375748,development,30-39%,-10.0,10.0,Miami|station_verified=True,v3.0,12,6F+
0.0,Dallas,range,20pp+,UNCLASSIFIED,2026-08-04,Dallas|2026-08-04|high,0-1d,<0.20,0.01,KXHIGHTDAL-26AUG03-B100.5,0.9336,development,90-100%,-10.0,10.0,Dallas|station_verified=True,v3.0,13,6F+
0.0,Dallas,threshold,20pp+,UNCLASSIFIED,2026-08-04,Dallas|2026-08-04|high,0-1d,<0.20,0.01,KXHIGHTDAL-26AUG03-T105,0.226627,development,20-29%,-10.0,10.0,Dallas|station_verified=True,v3.0,14,6F+
0.0,Dallas,threshold,20pp+,UNCLASSIFIED,2026-08-04,Dallas|2026-08-04|high,0-1d,<0.20,0.01,KXHIGHTDAL-26AUG03-T98,0.338461,development,30-39%,-10.0,10.0,Dallas|station_verified=True,v3.0,15,6F+
0.0,Dallas,range,20pp+,UNCLASSIFIED,2026-08-05,Dallas|2026-08-05|high,0-1d,0.40-0.59,0.44,KXHIGHTDAL-26AUG04-B100.5,0.959,development,90-100%,-10.0,10.0,Dallas|station_verified=True,v3.0,16,6F+
1.0,Dallas,range,20pp+,UNCLASSIFIED,2026-08-05,Dallas|2026-08-05|high,0-1d,0.60-0.79,0.7,KXHIGHTDAL-26AUG04-B102.5,0.9462,development,90-100%,4.285714,10.0,Dallas|station_verified=True,v3.0,17,6F+
0.0,Dallas,threshold,20pp+,UNCLASSIFIED,2026-08-05,Dallas|2026-08-05|high,0-1d,<0.20,0.01,KXHIGHTDAL-26AUG04-T107,0.460172,development,40-49%,-10.0,10.0,Dallas|station_verified=True,v3.0,18,6F+
0.0,Minneapolis,range,20pp+,UNCLASSIFIED,2026-08-04,Minneapolis|2026-08-04|high,0-1d,<0.20,0.01,KXHIGHTMIN-26AUG03-B85.5,0.9784,development,90-100%,-10.0,10.0,Minneapolis|station_verified=True,v3.0,19,6F+
0.0,Minneapolis,threshold,20pp+,UNCLASSIFIED,2026-08-04,Minneapolis|2026-08-04|high,0-1d,<0.20,0.01,KXHIGHTMIN-26AUG03-T83,0.86067,development,80-89%,-10.0,10.0,Minneapolis|station_verified=True,v3.0,20,6F+
0.0,Minneapolis,range,20pp+,UNCLASSIFIED,2026-08-05,Minneapolis|2026-08-05|high,0-1d,0.40-0.59,0.57,KXHIGHTMIN-26AUG04-B76.5,0.9824,development,90-100%,-10.0,10.0,Minneapolis|station_verified=True,v3.0,21,6F+
1.0,Minneapolis,range,20pp+,UNCLASSIFIED,2026-08-05,Minneapolis|2026-08-05|high,0-1d,0.60-0.79,0.67,KXHIGHTMIN-26AUG04-B78.5,0.9714,development,90-100%,4.925373,10.0,Minneapolis|station_verified=True,v3.0,22,6F+
1.0,Minneapolis,threshold,10-19pp,UNCLASSIFIED,2026-08-05,Minneapolis|2026-08-05|high,0-1d,0.80-1.00,0.8,KXHIGHTMIN-26AUG04-T76,0.957,development,90-100%,2.5,10.0,Minneapolis|station_verified=True,v3.0,23,6F+
