# settlement_station: lat,lon from station_verified rows (no station-name column in production schema)
strategy_version,market_ticker,city,weather_variable,contract_type,target_settlement_date,direction,ec_side_probability,side_market_price,edge_pct_points,quote_age_seconds,decision_timestamp,market_close_timestamp,minutes_to_market_close,settlement_station,outcome,kalshi_result,stake,gross_payout,profit_loss,return_pct,settlement_timestamp
v3.0,KXLOWTOKC-26AUG06-B77.5,Oklahoma City,low,range,2026-08-07T19:00:00Z,NO,0.94,0.79,15,295.956678,2026-08-05T21:31:43.399Z,2026-08-07T06:00:00.000Z,1948.2766755500002,"35.3931,-97.6007",WIN,no,10,12.658228,2.658228,26.5823,2026-08-07T17:03:22.763Z
v2.2,KXLOWTOKC-26AUG06-B75.5,Oklahoma City,low,range,2026-08-07T19:00:00Z,NO,0.9359,0.66,27.59,216.024873,,,,"35.3931,-97.6007",WIN,no,10,15.151515,5.151515,51.5152,2026-08-07T17:03:20.355Z
v2.2,KXLOWTOKC-26AUG06-B77.5,Oklahoma City,low,range,2026-08-07T19:00:00Z,NO,0.94,0.79,15,216.336998,,,,"35.3931,-97.6007",WIN,no,10,12.658228,2.658228,26.5823,2026-08-07T17:02:50.365Z
v2.2,KXLOWTNYC-26AUG06-T75,New York City,low,threshold,2026-08-07T19:00:00Z,YES,0.4338,0.21,22.38,216.024873,,,,"40.7789,-73.9692",LOSS,no,10,0,-10,-100,2026-08-07T14:02:33.047Z
v2.2,KXLOWTHOU-26AUG06-B77.5,Houston,low,range,2026-08-07T19:00:00Z,NO,0.934,0.58,35.4,216.024873,,,,"29.6454,-95.2789",LOSS,yes,10,0,-10,-100,2026-08-07T14:02:32.096Z
v2.2,KXLOWTDAL-26AUG06-B81.5,Dallas,low,range,2026-08-07T19:00:00Z,NO,0.9339,0.59,34.39,216.024873,,,,"32.8998,-97.0403",LOSS,yes,10,0,-10,-100,2026-08-07T14:02:31.605Z
v2.2,KXHIGHTMIN-26AUG06-B84.5,Minneapolis,high,range,2026-08-07T19:00:00Z,NO,0.9843,0.57,41.43,216.024873,,,,"44.8848,-93.2223",WIN,no,10,17.54386,7.54386,75.4386,2026-08-07T14:02:31.061Z
v2.2,KXHIGHTDAL-26AUG06-B100.5,Dallas,high,range,2026-08-07T19:00:00Z,NO,0.9391,0.52,41.91,216.024873,,,,"32.8998,-97.0403",LOSS,yes,10,0,-10,-100,2026-08-07T14:02:30.281Z
v2.2,KXLOWTLAX-26AUG06-B68.5,Los Angeles,low,range,2026-08-08T04:54:08Z,NO,0.9414,0.67,27.14,223.980786,,,,"33.9381,-118.3889",LOSS,yes,10,0,-10,-100,2026-08-07T14:02:07.514Z
v2.2,KXHIGHTDAL-26AUG06-B98.5,Dallas,high,range,2026-08-07T19:00:00Z,NO,0.957,0.85,10.7,221.469139,,,,"32.8998,-97.0403",WIN,no,10,11.764706,1.764706,17.6471,2026-08-07T14:02:05.825Z
v2.2,KXLOWTDEN-26AUG06-B57.5,Denver,low,range,2026-08-07T19:00:00Z,NO,0.9537,0.65,30.37,221.469139,,,,"39.8561,-104.6737",WIN,no,10,15.384615,5.384615,53.8462,2026-08-07T11:01:38.229Z
v2.2,KXHIGHMIA-26AUG06-B89.5,Miami,high,range,2026-08-07T14:00:00Z,NO,0.9337,0.65,28.37,216.024873,,,,"25.7959,-80.287",WIN,no,10,15.384615,5.384615,53.8462,2026-08-07T11:01:33.344Z
v2.2,KXHIGHDEN-26AUG06-B96.5,Denver,high,range,2026-08-07T14:00:00Z,NO,0.9468,0.59,35.68,216.024873,,,,"39.8561,-104.6737",LOSS,yes,10,0,-10,-100,2026-08-07T11:01:32.767Z
v2.2,KXHIGHMIA-26AUG06-B91.5,Miami,high,range,2026-08-07T14:00:00Z,NO,0.9342,0.81,12.42,221.469139,,,,"25.7959,-80.287",WIN,no,10,12.345679,2.345679,23.4568,2026-08-07T11:01:23.980Z
v2.2,KXHIGHDEN-26AUG05-T83,Denver,high,threshold,2026-08-06T14:00:00Z,NO,0.9909,0.86,13.09,216.024873,,,,"39.8561,-104.6737",WIN,no,10,11.627907,1.627907,16.2791,2026-08-06T13:54:22.587Z
